feature_n,variable,value
10.0,rf,0.9048990563967523
10.0,rf,0.9223721746763222
10.0,rf,0.9126494186998525
10.0,rf,0.901415404871626
10.0,rf,0.8945096122515477
10.0,rf,0.8909561269204371
10.0,rf,0.89613880742913
10.0,rf,0.9062541145490455
10.0,rf,0.9363204959403115
10.0,rf,0.8990387748452264
10.0,rf,0.9207339511486976
10.0,rf,0.9103794083235835
10.0,rf,0.8521505376344085
10.0,rf,0.9117790811339197
10.0,rf,0.8978753101736973
10.0,rf,0.8862603150787696
10.0,rf,0.9408420209959428
10.0,rf,0.8875082290980908
10.0,rf,0.9118740399385561
10.0,rf,0.8864736070381231
10.0,rf,0.9004903698452085
10.0,rf,0.9072554935270614
10.0,rf,0.8753557874762808
10.0,rf,0.9388895477545856
10.0,rf,0.8887768817204302
10.0,rf,0.9107908956934665
10.0,rf,0.8760468362282877
10.0,rf,0.9058064516129032
10.0,rf,0.9211863405411792
10.0,rf,0.9018376968872123
10.0,rf,0.8916816767643686
10.0,rf,0.8898068267066767
10.0,rf,0.8974164437894582
10.0,rf,0.919616001152717
10.0,rf,0.8844104197988643
10.0,rf,0.9017088150924802
10.0,rf,0.8952666558599449
10.0,rf,0.9070071282900823
10.0,rf,0.9018376968872123
10.0,rf,0.8739521615097652
10.0,rf,0.8804985337243402
10.0,rf,0.8940828957239308
10.0,rf,0.921889400921659
10.0,rf,0.8997461928934009
10.0,rf,0.8918044866546586
10.0,rf,0.8480775496904528
10.0,rf,0.89079504724666
10.0,rf,0.8814477609849705
10.0,rf,0.8799429756936722
10.0,rf,0.9076878991321434
10.0,rf,0.8982609172701337
10.0,rf,0.9090136054421768
10.0,rf,0.8464450296247531
10.0,rf,0.9300893328238998
40.0,svm,0.8491382036685641
40.0,svm,0.905592410661535
40.0,svm,0.8491382036685641
40.0,svm,0.886109587098267
40.0,svm,0.9013925654908862
40.0,svm,0.9038774845226457
40.0,svm,0.9128812815448761
40.0,svm,0.8964860693518772
40.0,svm,0.8774824303090697
40.0,svm,0.8852660926425637
40.0,svm,0.8774824303090697
40.0,svm,0.8560049120609229
40.0,svm,0.8969168312486283
40.0,svm,0.8864736070381231
40.0,svm,0.8874047657643054
40.0,svm,0.9279081133919843
40.0,svm,0.8780425219941349
40.0,svm,0.884853462304756
40.0,svm,0.8753557874762807
40.0,svm,0.884853462304756
40.0,svm,0.8491382036685641
40.0,svm,0.8938932494317611
40.0,svm,0.8846375957800576
40.0,svm,0.9027272727272727
40.0,svm,0.8727585017541781
40.0,svm,0.8634707638915212
40.0,svm,0.8879113717823396
40.0,svm,0.842079662652657
40.0,svm,0.8780425219941349
40.0,svm,0.8952666558599449
